chembl_id,chemical_formula,target_name,pIC50,canonical_smiles,pref_name
CHEMBL102583,C7H18Cl2N2O2Pt,41M,5.72,,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)"
CHEMBL102583,C7H18Cl2N2O2Pt,A2780,5.595,,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)"
CHEMBL102583,C7H18Cl2N2O2Pt,CH1,5.715,,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)"
CHEMBL102583,C7H18Cl2N2O2Pt,SK-OV-3,5.16,,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)"
CHEMBL102644,C6H14Br2N2Pt,41M,5.45,,trans-Amminedibromo (cyclohexylamine)-platinium (II)
CHEMBL102644,C6H14Br2N2Pt,A2780,5.494999999999999,,trans-Amminedibromo (cyclohexylamine)-platinium (II)
CHEMBL102644,C6H14Br2N2Pt,CH1,5.35,,trans-Amminedibromo (cyclohexylamine)-platinium (II)
CHEMBL102644,C6H14Br2N2Pt,SK-OV-3,4.94,,trans-Amminedibromo (cyclohexylamine)-platinium (II)
CHEMBL103049,C6H16Cl2N2Pt,41M,5.369999999999999,,Trans-Amminedichloro hexylamine platinium (II)
CHEMBL103049,C6H16Cl2N2Pt,A2780,5.48,,Trans-Amminedichloro hexylamine platinium (II)
CHEMBL103049,C6H16Cl2N2Pt,CH1,5.380000000000001,,Trans-Amminedichloro hexylamine platinium (II)
CHEMBL103049,C6H16Cl2N2Pt,SK-OV-3,5.15,,Trans-Amminedichloro hexylamine platinium (II)
CHEMBL103122,C7H12Cl2N2O2Pt,41M,5.89,,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)"
CHEMBL103122,C7H12Cl2N2O2Pt,A2780,5.67,,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)"
CHEMBL103122,C7H12Cl2N2O2Pt,CH1,5.84,,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)"
CHEMBL103122,C7H12Cl2N2O2Pt,SK-OV-3,5.09,,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)"
CHEMBL103347,C7H14Cl2N2Pt,41M,5.835,,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)"
CHEMBL103347,C7H14Cl2N2Pt,A2780,6.06,,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)"
CHEMBL103347,C7H14Cl2N2Pt,CH1,5.81,,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)"
CHEMBL103347,C7H14Cl2N2Pt,SK-OV-3,5.36,,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)"
CHEMBL103460,C6H16Br2N2O2Pt,41M,5.725,,Platinum complex
CHEMBL103460,C6H16Br2N2O2Pt,A2780,5.645,,Platinum complex
CHEMBL103460,C6H16Br2N2O2Pt,CH1,5.675,,Platinum complex
CHEMBL103460,C6H16Br2N2O2Pt,SK-OV-3,5.33,,Platinum complex
CHEMBL103570,C6H16Cl2N2O2Pt,41M,5.675,,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)"
CHEMBL103570,C6H16Cl2N2O2Pt,A2780,5.91,,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)"
CHEMBL103570,C6H16Cl2N2O2Pt,CH1,5.83,,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)"
CHEMBL103570,C6H16Cl2N2O2Pt,SK-OV-3,5.0,,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)"
CHEMBL103721,C7H16Cl2N2Pt,41M,6.215,,trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II)
CHEMBL103721,C7H16Cl2N2Pt,A2780,5.890000000000001,,trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II)
CHEMBL103721,C7H16Cl2N2Pt,CH1,6.1899999999999995,,trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II)
CHEMBL103721,C7H16Cl2N2Pt,SK-OV-3,5.41,,trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II)
CHEMBL104893,C6H14Cl2N2Pt,41M,6.1850000000000005,,AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM
CHEMBL104893,C6H14Cl2N2Pt,A2780,6.16,,AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM
CHEMBL104893,C6H14Cl2N2Pt,CH1,6.1899999999999995,,AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM
