iter	RMSE
0	0.5871201134
1	0.5778553282
2	0.5690718628
3	0.5624638316
4	0.5537602378
5	0.5457828805
6	0.5358952237
7	0.5273945462
8	0.5194644945
9	0.5122985704
10	0.5066926475
11	0.5015223941
12	0.4945503839
13	0.4881128873
14	0.4817468466
15	0.4758602167
16	0.4703341393
17	0.4641807726
18	0.4595860988
19	0.4538461423
20	0.4475745767
21	0.4419519885
22	0.4370738951
23	0.434630697
24	0.430067141
25	0.4273602411
26	0.4227374091
27	0.4183236295
28	0.4155364941
29	0.4112233367
30	0.4080239984
31	0.4049532829
32	0.4034275472
33	0.4010397716
34	0.3981013841
35	0.3948307931
36	0.3924934334
37	0.3903087037
38	0.3871285075
39	0.385241799
40	0.3833771879
41	0.3803835751
42	0.3789668501
43	0.3770970748
44	0.3744416816
45	0.3730924035
46	0.3707823146
47	0.3691770555
48	0.3672439075
49	0.3658596355
50	0.3635656379
51	0.3621456069
52	0.3603341313
53	0.3589546104
54	0.3571637156
55	0.3555208133
56	0.3539620053
57	0.3515665043
58	0.3501894945
59	0.349351311
60	0.3483786039
61	0.3467069139
62	0.3456126725
63	0.343706714
64	0.3421896078
65	0.341414166
66	0.3404765828
67	0.3396510406
68	0.339154474
69	0.3378288118
70	0.3364219624
71	0.3351560444
72	0.3337076956
73	0.3328207658
74	0.332035357
75	0.3313573468
76	0.3308069514
77	0.3293770746
78	0.3278207619
79	0.3271360796
80	0.326049858
81	0.3250204554
82	0.3242632166
83	0.3233769343
84	0.3228161807
85	0.322108467
86	0.3218524219
87	0.3214630537
88	0.3207341005
89	0.3200542793
90	0.3194556323
91	0.3185168477
92	0.3179916742
93	0.3173813857
94	0.3165025336
95	0.3160501893
96	0.315261187
97	0.3141752751
98	0.3137121307
99	0.3134731673
100	0.3129264274
101	0.3127732333
102	0.3121035326
103	0.3120398005
104	0.3113009207
105	0.3109369108
106	0.31039688
107	0.3100415758
108	0.3096472772
109	0.3089510213
110	0.3081149967
111	0.3079772051
112	0.3076230746
113	0.3075037935
114	0.307105983
115	0.3066119451
116	0.3061512635
117	0.3058998875
118	0.3054502205
119	0.3050797906
120	0.3045804447
121	0.3040242907
122	0.3035675601
123	0.3034021399
124	0.3030224187
125	0.302499292
126	0.3021838215
127	0.302008128
128	0.3016318235
129	0.3015046982
130	0.3012157751
131	0.3008747404
132	0.3004285634
133	0.300329051
134	0.2999766533
135	0.2994904818
136	0.2989910285
137	0.2986174983
138	0.2984699232
139	0.2981370175
140	0.2978893692
141	0.2974861733
142	0.2972613391
143	0.2971091326
144	0.2969925894
145	0.2966443456
146	0.2963518685
147	0.296044678
148	0.2958135204
149	0.2954020982
150	0.2950614967
151	0.2948343546
152	0.2945228773
153	0.2943051684
154	0.2940834021
155	0.2939791261
156	0.2938600673
157	0.2937155245
158	0.2933532015
159	0.2930191983
160	0.2928197715
161	0.2926358243
162	0.292391321
163	0.2919979226
164	0.2917896171
165	0.291573341
166	0.291352355
167	0.2911233343
168	0.2910374408
169	0.2909251209
170	0.2906727797
171	0.2904559144
172	0.290328171
173	0.2900688303
174	0.2898304223
175	0.2895943191
176	0.2894928641
177	0.2893662561
178	0.289221059
179	0.2891527396
180	0.2889745388
181	0.2887279843
182	0.2886349608
183	0.2884759193
184	0.2883106898
185	0.2882539042
186	0.2881395864
187	0.2879488162
188	0.2878161976
189	0.2876716389
190	0.287556986
191	0.2874106693
192	0.2873701301
193	0.2872544111
194	0.2870941058
195	0.2870315399
196	0.2869108144
197	0.2868213938
198	0.2866741562
199	0.2865163313
200	0.2863953654
201	0.2862831707
202	0.2862088777
203	0.2861225686
204	0.2860733459
205	0.2860100282
206	0.2859587851
207	0.2858680728
208	0.2857844191
209	0.2856965752
210	0.2855805662
211	0.285538925
212	0.2854946532
213	0.2854696612
214	0.2853657353
215	0.2853063796
216	0.285222631
217	0.2851921709
218	0.2850934657
219	0.285025105
220	0.2849733143
221	0.2849298572
222	0.2848955891
223	0.2847991289
224	0.284769381
225	0.2847348798
226	0.2846699337
227	0.2846418194
228	0.2846129518
229	0.2845774717
230	0.2845285955
231	0.2844753396
232	0.2843882078
233	0.284347255
234	0.2843078935
235	0.2842843038
236	0.2842366396
237	0.2842104051
238	0.284168149
239	0.2841353228
240	0.2840924525
241	0.284045561
242	0.2840008278
243	0.2839707688
244	0.2839084881
245	0.2838671778
246	0.2838392023
247	0.2837949789
248	0.2837722432
249	0.2837338914
250	0.2836943789
251	0.2836485042
252	0.2836251941
253	0.2835881812
254	0.2835531721
255	0.2835121402
256	0.283478188
257	0.2834562585
258	0.283433594
259	0.2834030389
260	0.283364789
261	0.2833321134
262	0.2833150826
263	0.2832808821
264	0.283247913
265	0.2832383815
266	0.2832210182
267	0.283196951
268	0.2831775796
269	0.2831629253
270	0.2831466423
271	0.2831242697
272	0.2831058676
273	0.2830939633
274	0.2830692477
275	0.2830423613
276	0.2830264463
277	0.2830065309
278	0.282991462
279	0.2829773573
280	0.2829667841
281	0.2829459815
282	0.2829396372
283	0.2829291862
284	0.2829165429
285	0.2829021587
286	0.2828825432
287	0.2828646074
288	0.2828522786
289	0.2828344014
290	0.2828218548
291	0.2828059996
292	0.2827909496
293	0.282780461
294	0.2827645217
295	0.2827546043
296	0.2827430965
297	0.2827272275
298	0.2827171985
299	0.2827075064
300	0.2826881769
301	0.2826741549
302	0.2826655674
303	0.2826541865
304	0.2826422739
305	0.2826283806
306	0.2826177537
307	0.2826030782
308	0.2825939038
309	0.2825899464
310	0.2825799751
311	0.2825719778
312	0.282562163
313	0.2825468249
314	0.2825345158
315	0.2825284854
316	0.2825217792
317	0.2825150726
318	0.2825077905
319	0.2824948086
320	0.2824837061
321	0.2824737592
322	0.282467659
323	0.2824639648
324	0.2824566591
325	0.2824490017
326	0.2824416732
327	0.2824359885
328	0.282430391
329	0.2824214341
330	0.282411846
331	0.2824074711
332	0.2824005958
333	0.2823960084
334	0.2823932025
335	0.2823854778
336	0.2823790697
337	0.2823681794
338	0.2823598473
339	0.2823520449
340	0.2823473353
341	0.2823417587
342	0.2823343987
343	0.2823320939
344	0.2823247532
345	0.2823203615
346	0.2823157987
347	0.2823132374
348	0.2823087921
349	0.2823052111
350	0.2823006688
351	0.2822966242
352	0.2822890921
353	0.2822858256
354	0.282279707
355	0.2822755885
356	0.2822705379
357	0.2822656313
358	0.2822609138
359	0.2822535474
360	0.282249936
361	0.2822441455
362	0.282242052
363	0.2822382192
364	0.2822351636
365	0.2822310495
366	0.282226611
367	0.2822228102
368	0.2822205414
369	0.2822189472
370	0.2822157563
371	0.2822136627
372	0.2822108404
373	0.282207801
374	0.2822053588
375	0.2822023879
376	0.282200013
377	0.2821946197
378	0.2821928689
379	0.2821884374
380	0.2821855513
381	0.282182298
382	0.2821777598
383	0.2821751782
384	0.2821729561
385	0.2821690386
386	0.2821671552
387	0.2821636173
388	0.2821611725
389	0.2821594419
390	0.2821581957
391	0.2821561774
392	0.2821508498
393	0.2821472193
394	0.282144195
395	0.2821400451
396	0.2821368566
397	0.2821343753
398	0.2821331528
399	0.2821308387
