iter	Passed	Remaining
0	1	431
1	3	433
2	5	481
3	6	425
4	8	400
5	9	367
6	11	401
7	13	405
8	14	383
9	15	365
10	16	364
11	18	364
12	19	354
13	20	346
14	21	336
15	22	329
16	23	323
17	24	317
18	25	315
19	27	312
20	28	307
21	29	300
22	29	294
23	31	295
24	32	289
25	32	283
26	33	278
27	34	274
28	35	272
29	36	270
30	37	268
31	39	266
32	40	264
33	41	261
34	41	257
35	43	255
36	44	253
37	44	249
38	45	247
39	46	244
40	47	241
41	48	238
42	48	235
43	49	232
44	50	230
45	51	229
46	52	226
47	53	224
48	54	222
49	55	221
50	56	219
51	57	217
52	57	215
53	58	212
54	59	210
55	60	211
56	61	209
57	62	207
58	63	205
59	64	204
60	65	202
61	65	200
62	66	198
63	68	198
64	69	196
65	69	195
66	71	193
67	72	192
68	72	191
69	74	191
70	76	192
71	77	191
72	78	190
73	79	189
74	80	188
75	81	186
76	83	186
77	84	185
78	85	184
79	86	183
80	87	181
81	88	180
82	89	179
83	89	177
84	90	176
85	91	174
86	92	173
87	93	171
88	93	169
89	95	169
90	96	168
91	97	166
92	97	165
93	98	163
94	99	162
95	100	161
96	102	161
97	103	159
98	104	159
99	105	158
100	106	156
101	107	155
102	107	154
103	108	152
104	110	151
105	111	150
106	112	150
107	113	148
108	113	147
109	114	146
110	115	144
111	116	143
112	117	142
113	118	141
114	119	140
115	120	139
116	121	137
117	122	137
118	123	136
119	125	135
120	126	134
121	127	133
122	128	132
123	129	131
124	130	130
125	130	128
126	131	127
127	132	126
128	133	125
129	134	124
130	136	124
131	137	123
132	138	121
133	139	121
134	141	120
135	142	119
136	143	118
137	144	117
138	145	115
139	145	114
140	146	113
141	147	112
142	148	111
143	149	109
144	150	108
145	151	108
146	153	107
147	154	106
148	155	105
149	156	104
150	157	103
151	158	102
152	159	101
153	160	100
154	161	99
155	162	97
156	163	96
157	164	95
158	165	94
159	166	93
160	167	92
161	168	91
162	169	90
163	170	89
164	171	88
165	172	87
166	173	86
167	174	84
168	174	83
169	175	82
170	176	81
171	177	80
172	177	79
173	178	78
174	180	77
175	181	76
176	182	75
177	183	74
178	184	73
179	185	72
180	186	71
181	187	70
182	188	68
183	189	67
184	190	66
185	191	65
186	191	64
187	192	63
188	193	62
189	194	61
190	195	60
191	195	59
192	196	58
193	197	57
194	198	56
195	199	55
196	200	54
197	201	53
198	202	51
199	203	50
200	204	49
201	205	48
202	207	47
203	207	46
204	208	45
205	209	44
206	210	43
207	211	42
208	211	41
209	212	40
210	213	39
211	214	38
212	215	37
213	216	36
214	217	35
215	218	34
216	219	33
217	220	32
218	221	31
219	222	30
220	223	29
221	224	28
222	225	27
223	226	26
224	227	25
225	228	24
226	229	23
227	230	22
228	231	21
229	231	20
230	233	19
231	234	18
232	235	17
233	236	16
234	237	15
235	237	14
236	238	13
237	239	12
238	240	11
239	241	10
240	242	9
241	242	8
242	243	7
243	244	6
244	245	5
245	246	4
246	247	3
247	248	2
248	249	1
249	251	0
