chembl_id,chemical_formula,target_name,pIC50,canonical_smiles
CHEMBL102583,C7H18Cl2N2O2Pt,41M,5.72,
CHEMBL102583,C7H18Cl2N2O2Pt,A2780,5.595,
CHEMBL102583,C7H18Cl2N2O2Pt,CH1,5.715,
CHEMBL102583,C7H18Cl2N2O2Pt,SK-OV-3,5.16,
CHEMBL102644,C6H14Br2N2Pt,41M,5.45,
CHEMBL102644,C6H14Br2N2Pt,A2780,5.494999999999999,
CHEMBL102644,C6H14Br2N2Pt,CH1,5.35,
CHEMBL102644,C6H14Br2N2Pt,SK-OV-3,4.94,
CHEMBL103049,C6H16Cl2N2Pt,41M,5.369999999999999,
CHEMBL103049,C6H16Cl2N2Pt,A2780,5.48,
CHEMBL103049,C6H16Cl2N2Pt,CH1,5.380000000000001,
CHEMBL103049,C6H16Cl2N2Pt,SK-OV-3,5.15,
CHEMBL103122,C7H12Cl2N2O2Pt,41M,5.89,
CHEMBL103122,C7H12Cl2N2O2Pt,A2780,5.67,
CHEMBL103122,C7H12Cl2N2O2Pt,CH1,5.84,
CHEMBL103122,C7H12Cl2N2O2Pt,SK-OV-3,5.09,
CHEMBL103347,C7H14Cl2N2Pt,41M,5.835,
CHEMBL103347,C7H14Cl2N2Pt,A2780,6.06,
CHEMBL103347,C7H14Cl2N2Pt,CH1,5.81,
CHEMBL103347,C7H14Cl2N2Pt,SK-OV-3,5.36,
CHEMBL103460,C6H16Br2N2O2Pt,41M,5.725,
CHEMBL103460,C6H16Br2N2O2Pt,A2780,5.645,
CHEMBL103460,C6H16Br2N2O2Pt,CH1,5.675,
CHEMBL103460,C6H16Br2N2O2Pt,SK-OV-3,5.33,
CHEMBL103570,C6H16Cl2N2O2Pt,41M,5.675,
CHEMBL103570,C6H16Cl2N2O2Pt,A2780,5.91,
CHEMBL103570,C6H16Cl2N2O2Pt,CH1,5.83,
CHEMBL103570,C6H16Cl2N2O2Pt,SK-OV-3,5.0,
CHEMBL103721,C7H16Cl2N2Pt,41M,6.215,
CHEMBL103721,C7H16Cl2N2Pt,A2780,5.890000000000001,
CHEMBL103721,C7H16Cl2N2Pt,CH1,6.1899999999999995,
CHEMBL103721,C7H16Cl2N2Pt,SK-OV-3,5.41,
CHEMBL104893,C6H14Cl2N2Pt,41M,6.1850000000000005,
CHEMBL104893,C6H14Cl2N2Pt,A2780,6.16,
CHEMBL104893,C6H14Cl2N2Pt,CH1,6.1899999999999995,
CHEMBL104893,C6H14Cl2N2Pt,SK-OV-3,5.41,
CHEMBL105222,C7H18Cl2N2O2Pt,41M,4.93,
CHEMBL105222,C7H18Cl2N2O2Pt,A2780,5.15,
CHEMBL105222,C7H18Cl2N2O2Pt,CH1,4.915,
CHEMBL105222,C7H18Cl2N2O2Pt,SK-OV-3,4.57,
CHEMBL108133,C6H22Cl2N6Pt2+2,41M,5.734999999999999,
CHEMBL108133,C6H22Cl2N6Pt2+2,A2780,6.26,
CHEMBL108133,C6H22Cl2N6Pt2+2,CH1,6.26,
CHEMBL108133,C6H22Cl2N6Pt2+2,SK-OV-3,4.4399999999999995,
CHEMBL111089,C6H20Cl3N5Pt2,41M,5.755,
CHEMBL111089,C6H20Cl3N5Pt2,A2780,6.51,
CHEMBL111089,C6H20Cl3N5Pt2,CH1,6.265,
CHEMBL111089,C6H20Cl3N5Pt2,SK-OV-3,4.63,
CHEMBL1169454,C36H30N4O8Pt+2,A2780,6.275,
CHEMBL1169454,C36H30N4O8Pt+2,CH1,6.34,
CHEMBL118385,C12H8AuCl2N2+2,A2780,5.4399999999999995,
CHEMBL1351,C6H12N2O4Pt,A2780,5.09,
CHEMBL1351,C6H12N2O4Pt,CH1,5.215,
CHEMBL1351,C6H12N2O4Pt,SK-OV-3,4.7,
CHEMBL146966,C11H12AuN3S2+,A2780,5.140000000000001,
CHEMBL146966,C11H12AuN3S2+,CH1,4.98,
CHEMBL146966,C11H12AuN3S2+,SK-OV-3,4.555,
CHEMBL147203,C10H21N3O8P2Pt+,CH1,4.485,
CHEMBL148800,C10H16Cl2N3Pt+,41M,4.35,
CHEMBL148800,C10H16Cl2N3Pt+,A2780,5.0,
CHEMBL148800,C10H16Cl2N3Pt+,CH1,4.59,
CHEMBL149255,C11H12AuNO4+,A2780,4.945,
CHEMBL149255,C11H12AuNO4+,CH1,4.925,
CHEMBL149255,C11H12AuNO4+,SK-OV-3,4.6899999999999995,
CHEMBL150105,C13H18AuNO4+,A2780,4.96,
CHEMBL150105,C13H18AuNO4+,CH1,4.9399999999999995,
CHEMBL150105,C13H18AuNO4+,SK-OV-3,4.89,
CHEMBL1627729,C33H50Cl2N2O3Pt,A2780,5.23,
CHEMBL1627731,C35H54Cl2N2O3Pt,A2780,5.0,
CHEMBL1627733,C30H44Cl2N2O3Pt,A2780,4.82,
CHEMBL1627734,C34H52Cl2N2O3Pt,A2780,5.595000000000001,
CHEMBL1627737,C32H48Cl2N2O3Pt,A2780,5.43,
CHEMBL1627738,C31H46Cl2N2O3Pt,A2780,4.78,
CHEMBL1627740,C29H42Cl2N2O3Pt,A2780,4.57,
CHEMBL1627993,C36H56Cl2N2O3Pt,A2780,5.705,
CHEMBL164788,C14H24Cl2N2O4Pt,A2780,5.4,
CHEMBL174577,C12H22ClF6N2PRu,A2780,5.05,
CHEMBL174682,C12H22F6IN2PRu,A2780,5.1,
CHEMBL174841,C14H18ClF6N2PRu,A2780,5.22,
CHEMBL175093,C8H14ClF6N2PRu,A2780,4.77,
CHEMBL175505,C6H12Cl2N2Pt,A2780,5.1,
CHEMBL175535,C9H18N2O4Pt+2,A2780,5.64,
CHEMBL175844,C12H22N2O4Pt+2,A2780,5.33,
CHEMBL176766,C12H18N2O4Pt,A2780,5.6,
CHEMBL177920,C8H12N2O4Pt,A2780,5.04,
CHEMBL177971,C6H16Cl2N2Pt+2,A2780,4.955,
CHEMBL179236,C6H14Cl2N2Pt+2,A2780,4.995,
CHEMBL186705,C6H8Cl2N2Pt+2,A2780,5.38,
CHEMBL187543,C21H15Cl3N6Ru,SK-OV-3,5.58,
CHEMBL190065,C14H10Cl4N4Ru-,SK-OV-3,4.18,
CHEMBL194376,C13H16N2O4Pt,41M,4.66,
CHEMBL194376,C13H16N2O4Pt,A2780,4.89,
CHEMBL194376,C13H16N2O4Pt,CH1,4.77,
CHEMBL196628,C14H16N2O4Pt,41M,4.85,
CHEMBL196628,C14H16N2O4Pt,A2780,4.89,
CHEMBL196628,C14H16N2O4Pt,CH1,4.72,
CHEMBL2068288,C12H20N2O5Pt,SK-OV-3,4.2,
CHEMBL2068310,C8H20Cl4N2O2Pt,A2780,5.66,
CHEMBL2068310,C8H20Cl4N2O2Pt,SK-OV-3,5.4,
CHEMBL2068312,C8H16Cl2N2O5Pt,A2780,5.55,
CHEMBL2068312,C8H16Cl2N2O5Pt,SK-OV-3,4.62,
CHEMBL2068314,C8H16Cl2N2O6Pt,SK-OV-3,5.0,
CHEMBL2068316,C6H16Cl4N2O2Pt,A2780,5.8,
CHEMBL2068316,C6H16Cl4N2O2Pt,SK-OV-3,5.0,
CHEMBL2068372,C7H17Cl2N3Pt,41M,4.42,
CHEMBL2068372,C7H17Cl2N3Pt,A2780,4.85,
CHEMBL2068372,C7H17Cl2N3Pt,CH1,4.65,
CHEMBL2068376,C8H19Cl2N3Pt,41M,4.41,
CHEMBL2068376,C8H19Cl2N3Pt,A2780,4.8,
CHEMBL2068376,C8H19Cl2N3Pt,CH1,4.744999999999999,
CHEMBL2068447,C14H24N2O5Pt,SK-OV-3,4.11,
CHEMBL2068449,C14H20N2O5Pt,SK-OV-3,4.38,
CHEMBL2068452,C8H20Cl2N2O2Pt,SK-OV-3,4.64,
CHEMBL2068454,C6H16Cl2N2O2Pt,SK-OV-3,4.7,
CHEMBL2068458,C10H20Cl2N2O6Pt,SK-OV-3,4.66,
CHEMBL2068480,C8H18Cl2N4Pt,41M,4.37,
CHEMBL2068480,C8H18Cl2N4Pt,A2780,4.77,
CHEMBL2068480,C8H18Cl2N4Pt,CH1,4.43,
CHEMBL2068496,C9H19Cl2N3Pt,41M,4.43,
CHEMBL2068496,C9H19Cl2N3Pt,A2780,4.75,
CHEMBL2068496,C9H19Cl2N3Pt,CH1,4.365,
CHEMBL2068551,C8H12N2O5Pt,SK-OV-3,4.39,
CHEMBL2068563,C10H16N2O5Pt,SK-OV-3,4.43,
CHEMBL213916,C50H42N18O18Pt3+10,A2780,5.734999999999999,
CHEMBL213916,C50H42N18O18Pt3+10,CH1,5.85,
CHEMBL213916,C50H42N18O18Pt3+10,SK-OV-3,5.29,
CHEMBL2146185,C15H11B2ClF8N3Pt-,A2780,4.35,
CHEMBL2146185,C15H11B2ClF8N3Pt-,CH1,5.19,
CHEMBL2146185,C15H11B2ClF8N3Pt-,SK-OV-3,4.71,
CHEMBL2146195,C30H26Cl2N4O4Pt,A2780,6.35,
CHEMBL2146195,C30H26Cl2N4O4Pt,CH1,6.46,
CHEMBL2146196,C8H16Cl2N2O2Pt,SK-OV-3,5.11,
CHEMBL217343,C42H32B4F16N8Pt2+8,A2780,5.71,
CHEMBL217343,C42H32B4F16N8Pt2+8,CH1,5.87,
CHEMBL217343,C42H32B4F16N8Pt2+8,SK-OV-3,5.89,
CHEMBL217630,C48H46B4F16N12O2Pt2+8,A2780,4.5600000000000005,
CHEMBL217630,C48H46B4F16N12O2Pt2+8,CH1,4.38,
CHEMBL217630,C48H46B4F16N12O2Pt2+8,SK-OV-3,4.01,
CHEMBL262033,C44H30N12O12Pt2+8,A2780,5.725,
CHEMBL262033,C44H30N12O12Pt2+8,CH1,6.14,
CHEMBL262033,C44H30N12O12Pt2+8,SK-OV-3,5.77,
CHEMBL264844,C56H36Cl2N12O12Pt2+8,A2780,4.985,
CHEMBL264844,C56H36Cl2N12O12Pt2+8,CH1,5.555,
CHEMBL264844,C56H36Cl2N12O12Pt2+8,SK-OV-3,5.66,
CHEMBL265995,C40H30N12O12Pt2+8,A2780,5.02,
CHEMBL265995,C40H30N12O12Pt2+8,CH1,5.81,
CHEMBL265995,C40H30N12O12Pt2+8,SK-OV-3,5.51,
CHEMBL266168,C23H21B2F8N5Pt+4,A2780,4.23,
CHEMBL266168,C23H21B2F8N5Pt+4,CH1,4.87,
CHEMBL266168,C23H21B2F8N5Pt+4,SK-OV-3,4.1,
CHEMBL266471,C27H21B2BrF8N4Pt+4,A2780,4.470000000000001,
CHEMBL266471,C27H21B2BrF8N4Pt+4,CH1,5.3,
CHEMBL266733,C22H18B2F8N4OPt+4,A2780,5.175000000000001,
CHEMBL266733,C22H18B2F8N4OPt+4,CH1,5.66,
CHEMBL266733,C22H18B2F8N4OPt+4,SK-OV-3,4.96,
CHEMBL267638,C21H20B2F8N6Pt+4,A2780,4.48,
CHEMBL267638,C21H20B2F8N6Pt+4,CH1,4.515000000000001,
CHEMBL267704,C20H15B2F9N4Pt+4,A2780,4.67,
CHEMBL267704,C20H15B2F9N4Pt+4,CH1,4.85,
CHEMBL268353,C18H14B2F8N4PtS+4,A2780,4.73,
CHEMBL268353,C18H14B2F8N4PtS+4,CH1,4.77,
