chembl_id,molregno,iupac_name,smiles,molecular_weight,aLogP,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,cx_logp,cx_logd,molecular_species,qed_weighted,np_likeness_score,ic50_value,ic50_units,standard_relation,target_name,target_type,cell_description,disease_name,disease_category,mechanism_of_action,action_type,warning_type,warning_description,IUPACName
CHEMBL6,173,INDOMETHACIN,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,357.79,3.93,4,1,68.53,4,N,0,3.53,0.26,ACID,0.77,-0.72,100000,nM,>,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Acute Pain,pain,Cyclooxygenase inhibitor,INHIBITOR,Black Box Warning,,2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetic acid
CHEMBL6291,213,BISINDOLYLMALEIMIDE IX,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,457.56,3.72,6,3,105.9,6,N,0,2.55,1.22,BASE,0.18,-0.63,1960,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"3-[3-[4-(1-methylindol-3-yl)-2,5-dioxopyrrol-3-yl]indol-1-yl]propyl carbamimidothioate"
CHEMBL8,241,CIPROFLOXACIN,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,331.35,1.58,5,2,74.57,3,N,0,-0.85,-0.85,ZWITTERION,0.89,-0.72,476000,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Abscess,abscess,Bacterial DNA gyrase inhibitor,INHIBITOR,Black Box Warning,,1-cyclopropyl-6-fluoro-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid
CHEMBL9,246,NORFLOXACIN,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,319.34,1.27,5,2,74.57,3,N,0,-0.96,-0.96,ZWITTERION,0.89,-0.97,238000,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Bacterial Infections,bacterial disease,Bacterial DNA gyrase inhibitor,INHIBITOR,Black Box Warning,,1-ethyl-6-fluoro-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid
CHEMBL10,250,SB-203580,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,377.44,4.68,3,1,64.63,4,N,0,3.14,3.14,NEUTRAL,0.53,-0.92,,,,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,4-[4-(4-fluorophenyl)-2-(4-methylsulfinylphenyl)-1H-imidazol-5-yl]pyridine
CHEMBL269538,322,HARMINE,COc1ccc2c(c1)[nH]c1c(C)nccc12,212.25,3.03,2,1,37.91,1,N,0,1.85,1.82,NEUTRAL,0.67,0.29,72000,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Diabetes Mellitus,diabetes mellitus,,,,,"7-methoxy-1-methyl-9H-pyrido[3,4-b]indole"
CHEMBL6640,442,TRYPTAMINE,NCCc1c[nH]c2ccccc12,160.22,1.67,1,2,41.81,2,Y,0,1.49,-0.77,BASE,0.69,0.05,50000,nM,>,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,2-(1H-indol-3-yl)ethanamine
CHEMBL6318,491,IDOXIFENE,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1,523.46,7.13,2,0,12.47,8,N,2,7.69,6.12,BASE,0.23,-0.83,7300,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,Estrogen receptor modulator,MODULATOR,,,1-[2-[4-[(E)-1-(4-iodophenyl)-2-phenylbut-1-enyl]phenoxy]ethyl]pyrrolidine
CHEMBL269472,507,,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCCN2CCCC2)cc1)c1ccccc1,537.49,7.53,2,0,12.47,9,N,2,7.75,5.76,BASE,0.16,-0.84,4500,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,1-[3-[4-[(E)-1-(4-iodophenyl)-2-phenylbut-1-enyl]phenoxy]propyl]pyrrolidine
CHEMBL267035,532,,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCCCN2CCCC2)cc1)c1ccccc1,551.51,7.92,2,0,12.47,10,N,2,8.26,5.79,BASE,0.14,-0.79,4000,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,1-[4-[4-[(E)-1-(4-iodophenyl)-2-phenylbut-1-enyl]phenoxy]butyl]pyrrolidine
CHEMBL6730,561,,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,497.42,6.6,2,0,12.47,8,N,1,7.28,5.9,BASE,0.26,-0.7,,nM,,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"2-[4-[(E)-1-(4-iodophenyl)-2-phenylbut-1-enyl]phenoxy]-N,N-dimethylethanamine"
CHEMBL267426,567,,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCCCN(C)C)cc1)c1ccccc1,525.47,7.38,2,0,12.47,10,N,2,7.86,5.5,BASE,0.16,-0.64,,nM,,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"4-[4-[(E)-1-(4-iodophenyl)-2-phenylbut-1-enyl]phenoxy]-N,N-dimethylbutan-1-amine"
CHEMBL266086,646,,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCCN(C)C)cc1)c1ccccc1,511.45,6.99,2,0,12.47,9,N,2,7.34,5.49,BASE,0.17,-0.66,,nM,,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"3-[4-[(E)-1-(4-iodophenyl)-2-phenylbut-1-enyl]phenoxy]-N,N-dimethylpropan-1-amine"
CHEMBL408,666,TROGLITAZONE,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,441.55,4.37,6,2,84.86,5,N,0,5.5,4.67,NEUTRAL,0.72,1.04,35400,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Diabetes Mellitus,diabetes mellitus,Peroxisome proliferator-activated receptor gamma agonist,AGONIST,Withdrawn,"hepatic necrosis and failure, with a mean time to onset of 3 months.","5-[[4-[(6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydrochromen-2-yl)methoxy]phenyl]methyl]-1,3-thiazolidine-2,4-dione"
CHEMBL6619,706,,Oc1ccc(C(=C2CCCCC2)c2ccc(O)cc2)cc1,280.37,4.86,2,2,40.46,2,N,0,5.04,5.03,NEUTRAL,0.82,0.27,,nM,,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,4-[cyclohexylidene-(4-hydroxyphenyl)methyl]phenol
CHEMBL409,717,BICALUTAMIDE,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,2.88,5,2,107.26,5,N,0,2.71,2.71,NEUTRAL,0.56,-1.64,39301,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Breast Neoplasms,breast cancer,Androgen Receptor antagonist,ANTAGONIST,,,N-[4-cyano-3-(trifluoromethyl)phenyl]-3-(4-fluorophenyl)sulfonyl-2-hydroxy-2-methylpropanamide
CHEMBL7301,853,FENRETINIDE,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1,391.56,6.86,2,2,49.33,6,N,1,6.15,6.14,NEUTRAL,0.32,1.4,150,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Breast Neoplasms,breast cancer,,,,,"(2E,4E,6E,8E)-N-(4-hydroxyphenyl)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenamide"
CHEMBL411,860,DIETHYLSTILBESTROL,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,268.36,4.83,2,2,40.46,4,N,0,5.19,5.17,NEUTRAL,0.78,0.24,5000,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Neoplasms,neoplasm,Estrogen receptor alpha agonist,AGONIST,,,4-[(E)-4-(4-hydroxyphenyl)hex-3-en-3-yl]phenol
CHEMBL413,923,SIROLIMUS,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,914.19,6.18,13,3,195.43,6,N,3,7.45,7.45,NEUTRAL,0.16,1.94,4980,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Acute Lung Injury,acute lung injury,FK506-binding protein 1A inhibitor,INHIBITOR,Black Box Warning,,"(1R,9S,12S,15R,16E,18R,19R,21R,23S,24E,30S,32S,35R)-1,18-dihydroxy-12-[(2R)-1-[(1S,3R,4R)-4-hydroxy-3-methoxycyclohexyl]propan-2-yl]-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone"
CHEMBL417,1114,EPIRUBICIN,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,543.53,0,12,6,206.07,5,N,3,0.53,0.1,BASE,0.24,1.81,200,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Breast Neoplasms,breast cancer,,,,,"(7S,9S)-7-[(2R,4S,5R,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione"
CHEMBL20,1125,ACETAZOLAMIDE,CC(=O)Nc1nnc(S(N)(=O)=O)s1,222.25,-0.86,6,2,115.04,2,N,0,-1.04,-2.08,NEUTRAL,0.63,-2.49,,,,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Altitude Sickness,altitude sickness,Carbonic anhydrase I inhibitor,INHIBITOR,Black Box Warning,,"N-(5-sulfamoyl-1,3,4-thiadiazol-2-yl)acetamide"
CHEMBL6966,1219,VERAPAMIL,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,454.61,5.09,6,0,63.95,13,N,1,5.04,2.79,BASE,0.42,-0.07,0.3,,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),"Arrhythmias, Cardiac",Ventricular arrhythmia,,,,,"2-(3,4-dimethoxyphenyl)-5-[2-(3,4-dimethoxyphenyl)ethyl-methylamino]-2-propan-2-ylpentanenitrile"
CHEMBL6466,1256,COUMARIN,O=c1ccc2ccccc2o1,146.14,1.79,2,0,30.21,0,Y,0,1.78,1.78,,0.53,0.23,50000,nM,>,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,Unknown,,,,chromen-2-one
CHEMBL25,1280,ASPIRIN,CC(=O)Oc1ccccc1C(=O)O,180.16,1.31,3,1,63.6,2,N,0,1.24,-2.16,ACID,0.55,0.12,5000000,nM,>,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),"Abortion, Habitual",habitual abortion,Cyclooxygenase inhibitor,INHIBITOR,,,2-acetyloxybenzoic acid
CHEMBL422,1325,TRIFLUOPERAZINE,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,407.51,4.95,4,0,9.72,4,N,0,4.66,3.97,NEUTRAL,0.71,-1.51,11330,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Psychotic Disorders,psychosis,,,,,10-[3-(4-methylpiperazin-1-yl)propyl]-2-(trifluoromethyl)phenothiazine
CHEMBL424,1362,SALICYLIC ACID,O=C(O)c1ccccc1O,138.12,1.09,2,2,57.53,1,Y,0,1.98,-1.52,ACID,0.61,0.14,100000,nM,>,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Acne Vulgaris,acne,,,,,2-hydroxybenzoic acid
CHEMBL427,1470,MECHLORETHAMINE,CN(CCCl)CCCl,156.06,1.4,1,0,3.24,4,N,0,1.52,1.5,NEUTRAL,0.56,-0.71,70000,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Hodgkin Disease,Hodgkins lymphoma,DNA inhibitor,INHIBITOR,,,2-chloro-N-(2-chloroethyl)-N-methylethanamine
CHEMBL28,1564,APIGENIN,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,270.24,2.58,5,3,90.9,1,N,0,2.71,1.77,NEUTRAL,0.63,1.36,95000,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),,,,,,,"5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one"
CHEMBL269277,1763,BETULINIC ACID,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,456.71,7.09,2,2,57.53,2,N,1,6.64,4.04,ACID,0.44,3.07,143000,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Dysplastic Nevus Syndrome,dysplastic nevus,,,,,"(1R,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-9-hydroxy-5a,5b,8,8,11a-pentamethyl-1-prop-1-en-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysene-3a-carboxylic acid"
CHEMBL36,2080,PYRIMETHAMINE,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,248.72,2.52,4,2,77.82,2,N,0,2.75,2.23,NEUTRAL,0.86,-0.93,453000,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Amyotrophic Lateral Sclerosis,familial amyotrophic lateral sclerosis,Dihydrofolate reductase inhibitor,INHIBITOR,,,"5-(4-chlorophenyl)-6-ethylpyrimidine-2,4-diamine"
CHEMBL38,2208,TRETINOIN,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,300.44,5.6,1,1,37.3,5,N,1,5.01,2.42,ACID,0.53,2.31,580,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Acne Vulgaris,acne,Retinoic acid receptor agonist,AGONIST,Black Box Warning,,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid"
CHEMBL41,2223,FLUOXETINE,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,309.33,4.44,2,1,21.26,6,N,0,4.17,1.83,BASE,0.85,-0.35,10,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Anxiety,anxiety,,,,,N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine
CHEMBL7568,2355,QUINACRINE,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,399.97,5.97,4,1,37.39,9,N,1,5.15,1.39,BASE,0.45,-0.99,4190,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Amebiasis,amebiasis,,,,,"4-N-(6-chloro-2-methoxyacridin-9-yl)-1-N,1-N-diethylpentane-1,4-diamine"
CHEMBL43,2580,AMSACRINE,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,393.47,4.51,5,2,80.32,5,N,0,3.16,2.16,NEUTRAL,0.49,-1.11,75,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Leukemia,leukemia,DNA topoisomerase II inhibitor,INHIBITOR,,,N-[4-(acridin-9-ylamino)-3-methoxyphenyl]methanesulfonamide
CHEMBL456,2654,ETHACRYNIC ACID,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,303.14,3.61,3,1,63.6,6,N,0,3.66,0.16,ACID,0.64,0.11,28920,nM,=,MCF7,CELL-LINE,MCF7 (Breast carcinoma cells),Cardiovascular Diseases,cardiovascular disease,Sodium-(potassium)-chloride cotransporter 2 inhibitor,INHIBITOR,,,"2-[2,3-dichloro-4-(2-methylidenebutanoyl)phenoxy]acetic acid"
