iter	RMSE
0	0.732484912
1	0.7202981183
2	0.7084101475
3	0.7002666181
4	0.6924900928
5	0.6860786425
6	0.6807846659
7	0.6766852183
8	0.6713485055
9	0.6668953731
10	0.6625647881
11	0.6570244303
12	0.6541759535
13	0.6497904157
14	0.6475955835
15	0.6436122645
16	0.6415119957
17	0.6392631249
18	0.6360513097
19	0.632402148
20	0.63142013
21	0.6288731021
22	0.6273495221
23	0.6259431285
24	0.6230512558
25	0.6217106413
26	0.6214443376
27	0.6195664786
28	0.6183629692
29	0.616634634
30	0.6143379847
31	0.6134732534
32	0.6126768848
33	0.6109533437
34	0.6100264042
35	0.6084927737
36	0.6063001181
37	0.6056894703
38	0.604716667
39	0.6039823783
40	0.6031244509
41	0.6025420752
42	0.6013445834
43	0.600511426
44	0.598908732
45	0.5985679639
46	0.5980494987
47	0.5970149173
48	0.5962104392
49	0.5960127419
50	0.5947477072
51	0.5937216312
52	0.593406462
53	0.593210402
54	0.5918582841
55	0.59108991
56	0.5900397947
57	0.589339324
58	0.5874748978
59	0.5867474083
60	0.5860570649
61	0.5853900794
62	0.584584006
63	0.5836811071
64	0.5833989945
65	0.5822114659
66	0.5816660513
67	0.5812521665
68	0.5808037241
69	0.5800977075
70	0.579309095
71	0.5789057863
72	0.5779817922
73	0.5767342065
74	0.5764904628
75	0.5754232081
76	0.5750488706
77	0.5746126904
78	0.5739166574
79	0.5736782306
80	0.573319558
81	0.5722741526
82	0.5718544063
83	0.5714806336
84	0.570504344
85	0.5704020904
86	0.5702713926
87	0.5700656613
88	0.569841861
89	0.569480862
90	0.5684158827
91	0.5680808627
92	0.5669855467
93	0.5663779964
94	0.5651349338
95	0.5641458415
96	0.563320411
97	0.5631087836
98	0.5623465664
99	0.562190543
100	0.5616049035
101	0.5608552466
102	0.5601679374
103	0.5600792114
104	0.5597650164
105	0.5592310506
106	0.5587322452
107	0.5580349004
108	0.5579254697
109	0.5578164111
110	0.5574511642
111	0.5568710037
112	0.556714829
113	0.5566315767
114	0.5565693728
115	0.5564891819
116	0.5557890249
117	0.5550866378
118	0.5550196575
119	0.554771535
120	0.5546588126
121	0.5543058421
122	0.5539197771
123	0.553854073
124	0.553248299
125	0.5527424217
126	0.5524897356
127	0.5520685982
128	0.5519235719
129	0.5512960462
130	0.5507570077
131	0.5503687301
132	0.5500124571
133	0.5497015088
134	0.549491845
135	0.5494393854
136	0.5491499947
137	0.548414113
138	0.5478763778
139	0.5476246872
140	0.547286416
141	0.5472442007
142	0.5468819518
143	0.5466049126
144	0.5465112258
145	0.5462968126
146	0.5461302687
147	0.5457868841
148	0.5457633364
149	0.5455174859
