iter	Passed	Remaining
0	57	8634
1	58	4307
2	58	2864
3	58	2142
4	58	1710
5	59	1421
6	59	1214
7	59	1059
8	59	939
9	60	842
10	60	763
11	60	698
12	60	642
13	61	594
14	61	552
15	61	516
16	61	484
17	62	455
18	62	430
19	62	407
20	62	386
21	63	367
22	63	350
23	63	335
24	64	320
25	64	306
26	64	294
27	64	282
28	65	271
29	65	261
30	65	251
31	65	242
32	65	233
33	66	225
34	66	218
35	66	211
36	66	204
37	67	197
38	67	191
39	67	185
40	67	179
41	67	174
42	68	169
43	68	164
44	68	159
45	68	155
46	68	151
47	69	147
48	69	143
49	69	139
50	69	135
51	70	132
52	70	128
53	70	125
54	70	122
55	71	119
56	71	116
57	71	113
58	71	110
59	72	108
60	72	105
61	72	102
62	72	100
63	72	97
64	73	95
65	73	93
66	73	91
67	73	89
68	74	86
69	74	84
70	74	82
71	74	80
72	74	79
73	75	77
74	75	75
75	75	73
76	75	72
77	76	70
78	76	68
79	76	67
80	77	65
81	77	64
82	77	62
83	77	61
84	77	59
85	78	58
86	78	56
87	78	55
88	78	54
89	79	52
90	79	51
91	79	50
92	79	48
93	80	47
94	80	46
95	80	45
96	80	44
97	80	42
98	81	41
99	81	40
100	81	39
101	81	38
102	81	37
103	82	36
104	82	35
105	82	34
106	82	33
107	82	32
108	83	31
109	83	30
110	83	29
111	83	28
112	83	27
113	84	26
114	84	25
115	84	24
116	84	23
117	84	23
118	85	22
119	85	21
120	85	20
121	85	19
122	86	18
123	86	18
124	86	17
125	86	16
126	86	15
127	87	14
128	87	14
129	87	13
130	87	12
131	88	12
132	88	11
133	88	10
134	88	9
135	88	9
136	89	8
137	89	7
138	89	7
139	89	6
140	89	5
141	90	5
142	90	4
143	90	3
144	90	3
145	90	2
146	91	1
147	91	1
148	91	0
149	91	0
