chembl_id,canonical_smiles,chemical_formula,ic50_nM,pIC50,assay_description,target_name,inchi,inchi_key
CHEMBL11359,,H6Cl2N2Pt+2,2300.0,5.64,In vitro cytotoxicity against human tumor MCF-7 cell line (breast cancer),MCF7,,
CHEMBL11359,,H6Cl2N2Pt+2,1400.0,5.85,In vitro cytotoxicity against human tumor EVSA-T cell line (breast cancer),EVSA-T,,
CHEMBL11359,,H6Cl2N2Pt+2,3200.0,5.5,In vitro cytotoxicity against human tumor WIDR cell line (colon cancer),WiDr,,
CHEMBL11359,,H6Cl2N2Pt+2,600.0,6.22,In vitro cytotoxicity against human tumor IGROV cell line (ovarian cancer),IGROV-1,,
CHEMBL11359,,H6Cl2N2Pt+2,1900.0,5.72,In vitro cytotoxicity against human tumor M19 cell line (melanoma cancer),M19-MEL,,
CHEMBL11359,,H6Cl2N2Pt+2,7500.0,5.12,In vitro cytotoxicity against human tumor A498 cell line (renal cancer),A498,,
CHEMBL11359,,H6Cl2N2Pt+2,10900.0,4.96,In vitro cytotoxicity against human tumor H226 cell line (nonsmall cell lung cancer),NCI-H226,,
CHEMBL279877,,C4H12Cl2N8O6Pt2,23000.0,4.64,In vitro cytotoxicity against human tumor MCF-7 cell line (breast cancer),MCF7,,
CHEMBL279877,,C4H12Cl2N8O6Pt2,85200.0,,In vitro cytotoxicity against human tumor EVSA-T cell line (breast cancer),EVSA-T,,
CHEMBL279877,,C4H12Cl2N8O6Pt2,13300.0,4.88,In vitro cytotoxicity against human tumor WIDR cell line (colon cancer),WiDr,,
CHEMBL279877,,C4H12Cl2N8O6Pt2,200.0,6.7,In vitro cytotoxicity against human tumor IGROV cell line (ovarian cancer),IGROV-1,,
CHEMBL279877,,C4H12Cl2N8O6Pt2,7200.0,5.14,In vitro cytotoxicity against human tumor M19 cell line (melanoma cancer),M19-MEL,,
CHEMBL279877,,C4H12Cl2N8O6Pt2,53000.0,4.28,In vitro cytotoxicity against human tumor A498 cell line (renal cancer),A498,,
CHEMBL279877,,C4H12Cl2N8O6Pt2,85200.0,,In vitro cytotoxicity against human tumor H226 cell line (nonsmall cell lung cancer),NCI-H226,,
CHEMBL11359,,H6Cl2N2Pt+2,300.0,6.52,Compound was tested for inhibitory activity against A2780 human ovarian carcinoma cell line; activity expressed in Mean IC50 values,A2780,,
CHEMBL11359,,H6Cl2N2Pt+2,3300.0,5.48,Compound was tested for inhibitory activity against A2780cisR human ovarian carcinoma cell line; activity expressed in Mean IC50 values,A2780,,
CHEMBL11359,,H6Cl2N2Pt+2,100.0,7.0,Compound was tested for inhibitory activity against CH1 human ovarian carcinoma cell line; activity expressed in Mean IC50 values,CH1,,
CHEMBL11359,,H6Cl2N2Pt+2,650.0,6.19,Compound was tested for inhibitory activity against CH1cisR human ovarian carcinoma cell line; activity expressed in Mean IC50 values,CH1,,
CHEMBL280204,,C4H12Cl2N8O6Pt2,17000.0,4.77,In vitro cytotoxicity against human tumor MCF-7 cell line (breast cancer),MCF7,,
CHEMBL280204,,C4H12Cl2N8O6Pt2,47000.0,4.33,In vitro cytotoxicity against human tumor EVSA-T cell line (breast cancer),EVSA-T,,
CHEMBL280204,,C4H12Cl2N8O6Pt2,2400.0,5.62,In vitro cytotoxicity against human tumor WIDR cell line (colon cancer),WiDr,,
CHEMBL280204,,C4H12Cl2N8O6Pt2,1000.0,6.0,In vitro cytotoxicity against human tumor IGROV cell line (ovarian cancer),IGROV-1,,
CHEMBL280204,,C4H12Cl2N8O6Pt2,20900.0,4.68,In vitro cytotoxicity against human tumor M19 cell line (melanoma cancer),M19-MEL,,
CHEMBL280204,,C4H12Cl2N8O6Pt2,63500.0,4.2,In vitro cytotoxicity against human tumor A498 cell line (renal cancer),A498,,
CHEMBL280204,,C4H12Cl2N8O6Pt2,85200.0,,In vitro cytotoxicity against human tumor H226 cell line (nonsmall cell lung cancer),NCI-H226,,
