chembl_id,chemical_formula,pIC50,count_C,count_H,count_N,count_O,count_S,count_Cl,count_Br,count_F,count_I,metal_mass,metal_ionic_radius,metal_electronegativity,expected_coordination_num,is_Ruthenium,is_Rhodium,is_Platinum,unsaturation_index,N_C_ratio,O_C_ratio,calculated_molecular_weight
CHEMBL100222,C24H23Cl2N4O3PtS+,6.23,24,23,4,3,1,2,0,0,0,195.084,80,2.28,4,0,0,1,15.5,0.1666666666666666,0.125,713.5169999999999
CHEMBL102514,C22H29Cl3N5OPt+,6.17,22,29,5,1,0,3,0,0,0,195.084,80,2.28,4,0,0,1,11.0,0.2272727272727272,0.0454545454545454,680.942
CHEMBL102583,C7H18Cl2N2O2Pt,5.39,7,18,2,2,0,2,0,0,0,195.084,80,2.28,4,0,0,1,0.0,0.2857142857142857,0.2857142857142857,428.217
CHEMBL102644,C6H14Br2N2Pt,4.96,6,14,2,0,0,0,2,0,0,195.084,80,2.28,4,0,0,1,1.0,0.3333333333333333,0.0,469.084
CHEMBL103049,C6H16Cl2N2Pt,5.32,6,16,2,0,0,2,0,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.0,382.192
CHEMBL103122,C7H12Cl2N2O2Pt,4.99,7,12,2,2,0,2,0,0,0,195.084,80,2.28,4,0,0,1,3.0,0.2857142857142857,0.2857142857142857,422.169
CHEMBL103347,C7H14Cl2N2Pt,5.25,7,14,2,0,0,2,0,0,0,195.084,80,2.28,4,0,0,1,2.0,0.2857142857142857,0.0,392.187
CHEMBL103460,C6H16Br2N2O2Pt,5.5,6,16,2,2,0,0,2,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,503.098
CHEMBL103570,C6H16Cl2N2O2Pt,5.36,6,16,2,2,0,2,0,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,414.18999999999994
CHEMBL103721,C7H16Cl2N2Pt,5.66,7,16,2,0,0,2,0,0,0,195.084,80,2.28,4,0,0,1,1.0,0.2857142857142857,0.0,394.203
CHEMBL104893,C6H14Cl2N2Pt,5.7,6,14,2,0,0,2,0,0,0,195.084,80,2.28,4,0,0,1,1.0,0.3333333333333333,0.0,380.176
CHEMBL106160,C10H20N3O2ReS2+,4.96,10,20,3,2,2,0,0,0,0,186.207,63,1.9,6,0,0,0,2.5,0.3,0.2,464.616
CHEMBL108133,C6H22Cl2N6Pt2+2,4.82,6,22,6,0,0,2,0,0,0,195.084,80,2.28,4,0,0,1,-1.0,1.0,0.0,639.352
CHEMBL108271,C11H22N3O2ReS2+,4.58,11,22,3,2,2,0,0,0,0,186.207,63,1.9,6,0,0,0,2.5,0.2727272727272727,0.1818181818181818,478.643
CHEMBL108272,C13H26N3O2ReS2+,5.11,13,26,3,2,2,0,0,0,0,186.207,63,1.9,6,0,0,0,2.5,0.2307692307692307,0.1538461538461538,506.697
CHEMBL111089,C6H20Cl3N5Pt2,4.51,6,20,5,0,0,3,0,0,0,195.084,80,2.28,4,0,0,1,-0.5,0.8333333333333334,0.0,658.7790000000001
CHEMBL1159457,C32H51Au2O17PS,5.22,32,51,0,17,1,0,0,0,0,196.967,137,2.54,2,0,0,0,7.5,0.0,0.53125,1133.737
CHEMBL1169454,C36H30N4O8Pt+2,6.55,36,30,4,8,0,0,0,0,0,195.084,80,2.28,4,0,0,1,24.0,0.1111111111111111,0.2222222222222222,841.74
CHEMBL117179,C24H30Cl2N3O4ReS2+,7.22,24,30,3,4,2,2,0,0,0,186.207,63,1.9,6,0,0,0,11.5,0.125,0.1666666666666666,745.7479999999999
CHEMBL117362,C24H31FN3O4ReS2+,5.46,24,31,3,4,2,0,0,1,0,186.207,63,1.9,6,0,0,0,11.0,0.125,0.1666666666666666,694.854
CHEMBL117698,C25H34Cl2N3O3ReS2+,8.28,25,34,3,3,2,2,0,0,0,186.207,63,1.9,6,0,0,0,10.5,0.12,0.12,745.7919999999999
CHEMBL117703,C25H32Cl2N3O3ReS2+,5.92,25,32,3,3,2,2,0,0,0,186.207,63,1.9,6,0,0,0,11.5,0.12,0.12,743.7759999999998
CHEMBL117991,C19H24ClN3O3PtS+2,6.37,19,24,3,3,1,1,0,0,0,195.084,80,2.28,4,0,0,1,9.5,0.1578947368421052,0.1578947368421052,605.0130000000001
CHEMBL118075,C24H32Cl2N3O4ReS2+,7.43,24,32,3,4,2,2,0,0,0,186.207,63,1.9,6,0,0,0,10.5,0.125,0.1666666666666666,747.7639999999999
CHEMBL118385,C12H8AuCl2N2+2,5.42,12,8,2,0,0,2,0,0,0,196.967,137,2.54,2,0,0,0,10.0,0.1666666666666666,0.0,448.0770000000001
CHEMBL119561,C24H33FN3O4ReS2+,8.22,24,33,3,4,2,0,0,1,0,186.207,63,1.9,6,0,0,0,10.0,0.125,0.1666666666666666,696.87
CHEMBL119728,C25H36FN4O4ReS2+,7.39,25,36,4,4,2,0,0,1,0,186.207,63,1.9,6,0,0,0,10.0,0.16,0.16,725.912
CHEMBL1200662,C34H32ClFeN4O4,4.45,34,32,4,4,0,1,0,0,0,55.845,61,1.83,6,0,0,0,21.0,0.1176470588235294,0.1176470588235294,651.949
CHEMBL1201055,C8H14N2O4Pt,4.32,8,14,2,4,0,0,0,0,0,195.084,80,2.28,4,0,0,1,3.0,0.25,0.5,397.294
