"Compound ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"Np Likeness Score";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan";"Records Key";"Records Name"
"CHEMBL276209";"(4-BromoThiophenolato)(2,2':6',2''-terpyridine)platinum (II) Chloride Dihydrate";"";"Small molecule";"";"651.87";"1";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C21H15BrClN3PtS+3";"";"";"";"False";"-1";"['2h']";"["(4-BromoThiophenolato)(2,2':6',2''-terpyridine)platinum (II) Chloride Dihydrate"]"
"CHEMBL117179";"Rhenium complex";"";"Small molecule";"";"745.77";"3";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C24H30Cl2N3O4ReS2+";"";"";"";"False";"-1";"['15b (O-1136)']";"["N-[(2-((3'-N-propyl-(1''R)-3''-(3,4-dichlorophenyl)trop-2''-ene-2''-carbomethoxy)(2-mercaptoethyl)amino) acetyl)-2-aminoethanethiolato)rhenium(V) oxide"]"
"CHEMBL2068303";"triphenylethylene platinum (II) complex";"";"Small molecule";"";"792.75";"2";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C35H46Cl2N2O2Pt";"";"";"";"False";"-1";"['1Bd']";"['triphenylethylene platinum (II) complex']"
"CHEMBL2068458";"Dichlorodiacetyl oxy-(ammino acetoxy butylammino ethanol) platinum (II)";"Dichlorodiacetyl oxy-(ammino acetoxy butylammino ethanol) platinum(II)";"Small molecule";"";"530.26";"2";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C10H20Cl2N2O6Pt";"";"";"";"False";"-1";"['17']";"['Dichlorodiacetyl oxy-(ammino acetoxy butylammino ethanol) platinum (II)']"
"CHEMBL2068320";"2-{3-[4-(Acridin-9-ylamino)-phenyl]-propyl}-propane-1,3-diammino-dichloroplatinum (II) (HCl)";"";"Small molecule";"";"620.44";"1";"4";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C23H22Cl2N4Pt";"";"";"";"False";"-1";"['11a']";"['2-{3-[4-(Acridin-9-ylamino)-phenyl]-propyl}-propane-1,3-diammino-dichloroplatinum (II) (HCl)']"
"CHEMBL175505";"Cis-Platinum (II) Conjugate";"";"Small molecule";"";"378.16";"1";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C6H12Cl2N2Pt";"";"";"";"False";"-1";"['13']";"['Cis-Platinum (II) Conjugate']"
"CHEMBL293638";"Fe complex";"";"Small molecule";"";"497.22";"1";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C26H21BrFeN2";"";"";"";"False";"-1";"['8c']";"["N-Ferrocenylmethyl, N'-Methyl-2-substituted Benzimidazole analogue"]"
"CHEMBL611449";"Acridinylthiourea derivative and platinum conjugate";"";"Small molecule";"";"616.09";"7";"11";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C20H29ClN6PtS+2";"";"";"";"False";"-1";"['PT-ACRAMTU', '2']";"['Platinum-acridine derivative', 'Acridinylthiourea derivative and platinum conjugate']"
"CHEMBL608255";"9-acridinylmethylamino-methylaminomethanethione1-PtCl(en)";"";"Small molecule";"";"556.98";"3";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C17H20ClN5PtS";"";"";"";"False";"-1";"['7']";"['9-acridinylmethylamino-methylaminomethanethione1-PtCl(en)']"
"CHEMBL2068376";"trans-ptcl2(n-butyl amine)(pz)";"";"Small molecule";"";"423.25";"5";"9";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C8H19Cl2N3Pt";"";"";"";"False";"-1";"['ptcl2']";"['trans-ptcl2(n-butyl amine)(pz)']"
"CHEMBL118385";"AUPHEN";"";"Small molecule";"";"448.08";"2";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C12H8AuCl2N2+2";"";"";"";"False";"-1";"['[Au(phen)Cl2]+']";"['Au(phen)']"
"CHEMBL294921";"FERROCENYL SUGAR";"";"Small molecule";"";"392.19";"2";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C17H20FeO7";"";"";"";"False";"-1";"['3-Fe-11']";"['Ferrocenyl Sugar']"
"CHEMBL4107001";"";"";"Small molecule";"";"730.91";"2";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C25H32N6O4ReS2+4";"";"";"";"False";"-1";"['BDBM103912']";"['US8562945, 247']"
"CHEMBL368608";"Cis-Platinum (II) Conjugate";"";"Small molecule";"";"451.38";"1";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C12H20N2O4Pt+2";"";"";"";"False";"-1";"['12']";"['Cis-Platinum (II) Conjugate']"
"CHEMBL364516";"N-{4-[4-(2-methoxyphenyl)piperazin-1-yl]butyl}-1-ferra-1,1'-spirobi[pentacyclo[2.2.0.0^{1,3}.0^{1,5}.0^{2,6}]hexane]-2,2',4,4'-tetraene-6-carboxamide";"";"Small molecule";"";"467.35";"7";"14";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C26H25FeN3O2";"";"";"";"False";"-1";"['1a']";"["N-{4-[4-(2-methoxyphenyl)piperazin-1-yl]butyl}-1-ferra-1,1'-spirobi[pentacyclo[2.2.0.0^{1,3}.0^{1,5}.0^{2,6}]hexane]-2,2',4,4'-tetraene-6-carboxamide"]"
"CHEMBL265995";"Platinum complex";"";"Small molecule";"";"1260.91";"3";"8";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C40H30N12O12Pt2+8";"";"";"";"False";"-1";"['3 (H)']";"["4'-chloro-2,2':6,2''-Terpyridineplatinum (II) complexes"]"
"CHEMBL611192";"Metallocenium salt";"";"Small molecule";"";"331.00";"9";"11";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C10H10F6FeP";"";"";"";"False";"-1";"['1']";"['Metallocenium salt']"
"CHEMBL2068325";"Platinum complex";"";"Small molecule";"";"634.47";"1";"4";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C24H24Cl2N4Pt";"";"";"";"False";"-1";"['11b']";"['2-{4-[4-(Acridin-9-ylamino)-phenyl]-butyl}-propane-1,3-diammino-dichloroplatinum (II) (HCl)']"
"CHEMBL74123";"Auranofin analogue HCl";"";"Small molecule";"";"391.25";"3";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C7H19AuN2PS-2";"";"";"";"False";"-1";"['17']";"['Auranofin analogue HCl']"
"CHEMBL74120";"Auranofin analogue";"";"Small molecule";"";"395.64";"3";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C8H20AuClOP-2";"";"";"";"False";"-1";"['49']";"['Auranofin analogue']"
