chembl_id,chemical_formula,pIC50,canonical_smiles,ligand_smiles
CHEMBL102856,C4H12Cl2N2O3Pt,4.0,,C1CSSC1.N.N
CHEMBL102856,C4H12Cl2N2O3Pt,4.33,,C1CSSC1.N.N
CHEMBL102856,C4H12Cl2N2O3Pt,4.58,,C1CSSC1.N.N
CHEMBL102856,C4H12Cl2N2O3Pt,4.27,,C1CSSC1.N.N
CHEMBL102856,C4H12Cl2N2O3Pt,4.76,,C1CSSC1.N.N
CHEMBL102856,C4H12Cl2N2O3Pt,4.55,,C1CSSC1.N.N
CHEMBL102856,C4H12Cl2N2O3Pt,4.96,,C1CSSC1.N.N
CHEMBL103345,C4H14Cl2N2O2Pt,4.3,,C1CSSC1.N.N
CHEMBL103345,C4H14Cl2N2O2Pt,4.47,,C1CSSC1.N.N
CHEMBL103345,C4H14Cl2N2O2Pt,5.35,,C1CSSC1.N.N
CHEMBL103345,C4H14Cl2N2O2Pt,5.1,,C1CSSC1.N.N
CHEMBL103345,C4H14Cl2N2O2Pt,5.96,,C1CSSC1.N.N
CHEMBL103345,C4H14Cl2N2O2Pt,5.47,,C1CSSC1.N.N
CHEMBL103345,C4H14Cl2N2O2Pt,6.1,,C1CSSC1.N.N
CHEMBL103345,C4H14Cl2N2O2Pt,5.07,,C1CSSC1.N.N
CHEMBL103345,C4H14Cl2N2O2Pt,5.75,,C1CSSC1.N.N
CHEMBL103345,C4H14Cl2N2O2Pt,5.33,,C1CSSC1.N.N
CHEMBL103345,C4H14Cl2N2O2Pt,6.05,,C1CSSC1.N.N
CHEMBL103345,C4H14Cl2N2O2Pt,6.13,,C1CSSC1.N.N
CHEMBL103345,C4H14Cl2N2O2Pt,5.79,,C1CSSC1.N.N
CHEMBL103345,C4H14Cl2N2O2Pt,6.68,,C1CSSC1.N.N
CHEMBL103345,C4H14Cl2N2O2Pt,5.38,,C1CSSC1.N.N
CHEMBL2068313,C4H12Cl4N2OPt,6.7,,C1CSSC1.N.N
CHEMBL2068313,C4H12Cl4N2OPt,5.05,,C1CSSC1.N.N
CHEMBL2068319,C4H12Cl2N2OPt,6.4,,C1CSSC1.N.N
CHEMBL2068319,C4H12Cl2N2OPt,5.22,,C1CSSC1.N.N
CHEMBL2068453,C4H10Cl2N2OPt,5.54,,C1CSSC1.N.N
CHEMBL2068453,C4H10Cl2N2OPt,4.52,,C1CSSC1.N.N
CHEMBL2068461,C4H10Cl4N2OPt,5.77,,C1CSSC1.N.N
CHEMBL2068461,C4H10Cl4N2OPt,4.58,,C1CSSC1.N.N
CHEMBL319021,C4H14Cl2N2O2Pt,5.48,,C1CSSC1.N.N
CHEMBL319021,C4H14Cl2N2O2Pt,4.92,,C1CSSC1.N.N
CHEMBL319021,C4H14Cl2N2O2Pt,5.75,,C1CSSC1.N.N
CHEMBL319021,C4H14Cl2N2O2Pt,6.12,,C1CSSC1.N.N
CHEMBL319021,C4H14Cl2N2O2Pt,5.35,,C1CSSC1.N.N
CHEMBL319021,C4H14Cl2N2O2Pt,5.72,,C1CSSC1.N.N
CHEMBL319021,C4H14Cl2N2O2Pt,4.94,,C1CSSC1.N.N
