iter	Passed	Remaining
0	73	22030
1	90	13541
2	106	10577
3	121	8993
4	140	8279
5	154	7588
6	170	7119
7	185	6757
8	201	6508
9	219	6363
10	258	6802
11	274	6590
12	290	6404
13	305	6246
14	322	6123
15	337	5985
16	352	5864
17	368	5776
18	384	5693
19	400	5605
20	416	5527
21	431	5456
22	447	5392
23	463	5334
24	479	5279
25	497	5237
26	512	5184
27	529	5143
28	546	5111
29	562	5063
30	580	5035
31	596	4991
32	615	4976
33	635	4968
34	656	4970
35	676	4963
36	695	4943
37	711	4908
38	727	4865
39	742	4823
40	761	4807
41	779	4790
42	797	4767
43	816	4749
44	857	4858
45	883	4875
46	902	4855
47	918	4820
48	935	4794
49	952	4764
50	969	4732
51	985	4702
52	1002	4669
53	1019	4643
54	1037	4619
55	1055	4597
56	1072	4572
57	1093	4561
58	1111	4539
59	1130	4520
60	1148	4500
61	1166	4476
62	1184	4455
63	1202	4434
64	1222	4420
65	1241	4402
66	1258	4378
67	1273	4346
68	1291	4322
69	1307	4297
70	1324	4270
71	1341	4249
72	1358	4223
73	1377	4206
74	1395	4186
75	1413	4166
76	1431	4145
77	1449	4125
78	1467	4106
79	1486	4088
80	1506	4072
81	1524	4052
82	1541	4028
83	1557	4005
84	1575	3985
85	1595	3969
86	1612	3947
87	1631	3929
88	1648	3908
89	1666	3887
90	1685	3872
91	1704	3853
92	1725	3841
93	1744	3822
94	1762	3804
95	1785	3794
96	1804	3775
97	1823	3758
98	1842	3741
99	1860	3720
100	1878	3701
101	1899	3686
102	1917	3667
103	1937	3651
104	1957	3635
105	1976	3618
106	1995	3599
107	2016	3585
108	2033	3562
109	2052	3544
110	2071	3527
111	2089	3506
112	2108	3489
113	2126	3469
114	2147	3454
115	2165	3435
116	2183	3415
117	2201	3395
118	2224	3383
119	2248	3372
120	2266	3353
121	2284	3333
122	2304	3316
123	2323	3297
124	2343	3281
125	2361	3261
126	2379	3242
127	2398	3222
128	2417	3204
129	2438	3188
130	2457	3170
131	2475	3150
132	2492	3129
133	2509	3108
134	2526	3088
135	2544	3068
136	2561	3047
137	2577	3025
138	2594	3004
139	2614	2988
140	2633	2969
141	2651	2950
142	2671	2933
143	2689	2914
144	2709	2896
145	2732	2881
146	2750	2862
147	2769	2844
148	2787	2824
149	2805	2805
150	2823	2786
151	2840	2766
152	2858	2746
153	2876	2727
154	2896	2709
155	2914	2690
156	2934	2672
157	2952	2653
158	2969	2633
159	2988	2615
160	3006	2595
161	3024	2576
162	3042	2556
163	3058	2536
164	3078	2518
165	3095	2498
166	3113	2479
167	3132	2461
168	3151	2442
169	3168	2422
170	3186	2403
171	3206	2386
172	3224	2367
173	3242	2348
174	3261	2329
175	3280	2311
176	3299	2292
177	3336	2286
178	3365	2274
179	3382	2255
180	3400	2235
181	3418	2216
182	3436	2197
183	3454	2177
184	3473	2159
185	3491	2139
186	3508	2120
187	3527	2101
188	3545	2082
189	3563	2062
190	3579	2042
191	3596	2022
192	3612	2002
193	3629	1983
194	3646	1963
195	3665	1944
196	3684	1926
197	3702	1907
198	3721	1888
199	3740	1870
200	3756	1850
201	3774	1831
202	3791	1811
203	3809	1792
204	3827	1773
205	3844	1754
206	3862	1735
207	3880	1716
208	3898	1697
209	3916	1678
210	3932	1658
211	3951	1640
212	3968	1620
213	3985	1601
214	4004	1583
215	4022	1564
216	4039	1544
217	4057	1526
218	4073	1506
219	4090	1487
220	4107	1468
221	4123	1448
222	4140	1429
223	4159	1411
224	4177	1392
225	4194	1373
226	4210	1354
227	4227	1335
228	4243	1315
229	4260	1296
230	4279	1278
231	4295	1259
232	4313	1240
233	4329	1221
234	4345	1202
235	4363	1183
236	4383	1165
237	4421	1151
238	4446	1134
239	4474	1118
240	4509	1103
241	4535	1086
242	4558	1069
243	4580	1051
244	4602	1033
245	4628	1015
246	4663	1000
247	4700	985
248	4730	968
249	4770	954
250	4795	936
251	4816	917
252	4836	898
253	4856	879
254	4875	860
255	4896	841
256	4916	822
257	4939	804
258	4962	785
259	4983	766
260	5001	747
261	5021	728
262	5043	709
263	5064	690
264	5083	671
265	5102	652
266	5119	632
267	5138	613
268	5155	594
269	5175	575
270	5194	555
271	5212	536
272	5230	517
273	5249	498
274	5268	478
275	5286	459
276	5306	440
277	5324	421
278	5342	402
279	5360	382
280	5378	363
281	5398	344
282	5415	325
283	5433	306
284	5451	286
285	5471	267
286	5489	248
287	5507	229
288	5524	210
289	5543	191
290	5560	171
291	5578	152
292	5596	133
293	5614	114
294	5632	95
295	5650	76
296	5668	57
297	5685	38
298	5703	19
299	5719	0
